word,definition
ovalo,corto circuito según Juan Antonio Rivas
amenazaba,señalaba
an,prefijo negativo
jara,mata para esconder al toro enamorado de la luna
burla,ja
ura,sufijo para la cualidad del adjetivo
señor,ñor
caridad,unica virtud que precisa de la injusticia
bagni,volante italiano campeon con el napoles de maradona
opit,cerca al contrario
us,nosotros en ingles
pensado,considerado
ad,tendencia en prefijo
harem,uno para todas y todas para uno dice JA Rivas
hibridacion,juntar dos cosas para hacer una tercera
neuronas,crean conexiones entre si
calabria,comunidad autónoma italiana
ax,queja que solo se usa en scrabble
up,arriba en ingles
arriera,hormiga que cultiva hongos con las hojas que corta
rai,arranque
ñapa,clase de cortesia
jodida,complicada y llevada
ar,hagale militar
cg,consejo guerrero
panel,división en cuatro
utilizan,abusan
opositor,apasionado que anda todo alborotado y se muere por volver volver
santiguo,exorciso
sera,atañerá
emular,reproducir con aumento
oronda,hinchada
torneos,justas
erepa,cuide reves
as,juega en santa fe
ete,sufijo con valor
irep,al rededor de en prefijo y al reves
agalip,un indigena argentino de cabeza uf
azo,sufijo de golpe
ip,direccion de internet
sello,pecurialidad
rei,me acorde del prepotente derrotado
ajauc,resulta de cabeza
tormento,sera lo que dice la cancion de la Novia mia
oritigas,plantas urentes
etnias,comunidades humanas
torres,reductos con apellidos
casona,alejandro de tres perfectas casadas
rastreo,batida
cure,trate con apellido
tara,herencia inapelable
look,imagen venerada
doloroso,cruel y despiadado
antro,chuzo
par,colega honrado
cupido,angelito de la dulce compañia que no nos desampara
irani,persiana moderna
sopeton,golpe de mano